[-0.86826369  0.49164592  0.06635306  0.1173567 ],[ 0.02110276 -0.09702542  0.99505853  0.00917239],[ 0.49565369  0.86537407  0.07386872  0.05478395],[ 0.  0.  0.  1.]
[-0.49389257  0.84549983  0.20297837  0.11185532],[ 0.01864428  0.24368018 -0.96967637  0.01218666],[-0.8693231  -0.47513142 -0.13611573  0.08176363],[ 0.  0.  0.  1.]
[-0.48491568  0.86839846  0.10364104  0.09445107],[-0.02537328  0.1044867  -0.99420276  0.01291847],[-0.87419282 -0.48473448 -0.02863313  0.10770185],[ 0.  0.  0.  1.]
[-0.19246873  0.98130043 -0.00217459  0.03962186],[-0.00295873 -0.00279638 -0.99999167  0.01489701],[-0.98129863 -0.19246064  0.00344182  0.13976706],[ 0.  0.  0.  1.]
[-0.23385649  0.97218814 -0.01269535  0.08593263],[-0.7249415  -0.18305371 -0.66404145  0.05866376],[-0.6478972  -0.14608709  0.74758814  0.09593284],[ 0.  0.  0.  1.]
[-0.06605673  0.99781432 -0.00196948  0.02925674],[-0.74483812 -0.05062276 -0.66532249  0.07281153],[-0.66396762 -0.04248188  0.74655372  0.12214641],[ 0.  0.  0.  1.]
[ 0.0309811   0.99949344  0.00724922  0.00723372],[-0.12968889  0.01121105 -0.99149122  0.0144607 ],[-0.99107059  0.02977743  0.12997044  0.14617581],[ 0.  0.  0.  1.]
[ 0.17303715  0.97718915  0.12313093 -0.02533691],[-0.08351973  0.1391244  -0.98674691  0.013569  ],[-0.98136775  0.16046011  0.10568805  0.14226791],[ 0.  0.  0.  1.]
[-0.50549491  0.8612685  -0.05187769  0.08649484],[ 0.82308133  0.46329678 -0.3284709  -0.03342911],[-0.25886695 -0.20873992 -0.94308829  0.09872365],[ 0.  0.  0.  1.]
[-0.32132865  0.94400395 -0.07486384  0.03104085],[ 0.87293469  0.26463697 -0.40981954 -0.04382328],[-0.3670596  -0.19703788 -0.90908919  0.12570639],[ 0.  0.  0.  1.]
