[-0.68535322  0.70731677 -0.1731866   0.1071185 ],[-0.65072883 -0.48810808  0.58163734  0.04539474],[ 0.32686827  0.51132426  0.79479831  0.04219185],[ 0.  0.  0.  1.]
[-0.55713182  0.79615384  0.23610115  0.10990907],[ 0.60226756  0.19164142  0.77495026 -0.02028238],[ 0.57173258  0.5739453  -0.58626693  0.0473403 ],[ 0.  0.  0.  1.]
[-0.30002539  0.92445265 -0.23531269  0.0657556 ],[-0.9308785  -0.22982549  0.2839814   0.08364541],[ 0.20844651  0.30424904  0.92950669  0.03974567],[ 0.  0.  0.  1.]
[-0.22525835  0.9621617  -0.15331277  0.08047167],[-0.86883932 -0.26957961 -0.41526593  0.06768532],[-0.4408826   0.03966222  0.89668822  0.09231144],[ 0.  0.  0.  1.]
[-0.47522869  0.87940336 -0.02841831  0.09373732],[-0.00117746 -0.03293398 -0.99945699  0.01563339],[-0.87986164 -0.4749369   0.01668662  0.10728824],[ 0.  0.  0.  1.]
[-0.55466677  0.82526943  0.10618779  0.08067113],[ 0.75205067  0.55183206 -0.36041864 -0.03784032],[-0.35604    -0.12005384 -0.92672689  0.09976864],[ 0.  0.  0.  1.]
[-0.36145859  0.9297251   0.07043012  0.0677759 ],[ 0.93130667  0.35637072  0.07528705 -0.06286921],[ 0.04489704  0.09280484 -0.99467199  0.04663642],[ 0.  0.  0.  1.]
[ 0.13502759  0.91271383 -0.38564467 -0.02804413],[-0.98680122  0.15898679  0.03076414  0.08645688],[  8.93911625e-02   3.76401012e-01   9.22134658e-01  -4.59185958e-04],[ 0.  0.  0.  1.]
[-0.074567    0.91778226 -0.39002053  0.00635831],[-0.9968699  -0.05830155  0.05339613  0.0921328 ],[ 0.0262672   0.3927814   0.91925674  0.04660423],[ 0.  0.  0.  1.]
[-0.09047099  0.99162323  0.09218997  0.0218365 ],[-0.82574356 -0.02294184 -0.56357932  0.07930626],[-0.55674319 -0.12711267  0.82090188  0.11596954],[ 0.  0.  0.  1.]
[-0.43796323  0.88189137 -0.17451559  0.03040268],[ 0.06445435 -0.16282103 -0.98454817  0.01688797],[-0.89667931 -0.44244422  0.01446803  0.14219912],[ 0.  0.  0.  1.]
[-0.34838153  0.91501653  0.20341138  0.02238819],[ 0.75751081  0.40264662 -0.51386135 -0.04946174],[-0.5520939  -0.02493349 -0.83340935  0.12215703],[ 0.  0.  0.  1.]
[-0.11906713  0.99285286  0.00817355  0.00778088],[ 0.9928788   0.11909365 -0.00283318 -0.07242257],[-0.00378629  0.00777804 -0.9999628   0.04885071],[ 0.  0.  0.  1.]
[ 0.52739257  0.79873217  0.28963146 -0.03812143],[ 0.84113115 -0.53892124 -0.04541521 -0.06458475],[ 0.11981369  0.26756939 -0.95606074  0.00759713],[ 0.  0.  0.  1.]
[ 0.37876176  0.87457619 -0.30274957 -0.0459826 ],[-0.89028079  0.25492754 -0.37737642  0.08185375],[-0.25286555  0.41246862  0.87517443  0.05831709],[ 0.  0.  0.  1.]
[ 0.60373618  0.79456111  0.06461449 -0.03690007],[-0.66874483  0.54891593 -0.50147007  0.06626836],[-0.43391696  0.25954547  0.862759    0.11214254],[ 0.  0.  0.  1.]
[ 0.45223154  0.78130105  0.43018071 -0.0347692 ],[-0.085081    0.51790931 -0.85119428  0.01762967],[-0.88783323  0.34833723  0.3006884   0.13503478],[ 0.  0.  0.  1.]
[ 0.54021735  0.83657297 -0.09116474 -0.04393548],[ 0.70863339 -0.51066004 -0.4868924  -0.03767581],[-0.45387563  0.19842517 -0.86869114  0.12034847],[ 0.  0.  0.  1.]
[ 0.55917777  0.82228763  0.10566656 -0.05545444],[ 0.80749546 -0.51132775 -0.2941006  -0.05580965],[-0.18780531  0.24977951 -0.94991592  0.06693286],[ 0.  0.  0.  1.]
[ 0.88975972  0.45552567 -0.02869828 -0.07576575],[-0.34516949  0.63039909 -0.69530898  0.04633292],[-0.29864081  0.62856445  0.71813747  0.07288664],[ 0.  0.  0.  1.]
[ 0.91412586  0.36990749  0.1659585  -0.08475789],[ 0.38653813 -0.67167729 -0.63201121 -0.01248962],[-0.12231549  0.64188735 -0.75698075  0.08085474],[ 0.  0.  0.  1.]
[ 0.46723714  0.58781817 -0.66042404 -0.01018817],[ 0.03896083 -0.75993959 -0.64882641  0.02081466],[-0.88327357  0.27742502 -0.37797337  0.1499751 ],[ 0.  0.  0.  1.]
