[-0.06361392  0.77327586  0.63086952  0.35413205],[ 0.0077945  -0.63174556  0.77513618 -0.02943241],[ 0.99794453  0.0542263   0.03416015 -0.07820853],[ 0.  0.  0.  1.]
[ 0.25130817  0.89188694 -0.37600732  0.35795648],[ 0.9499134  -0.15270765  0.27266259 -0.07907654],[ 0.1857647  -0.42569783 -0.88559268 -0.03498106],[ 0.  0.  0.  1.]
[ 0.00944784  0.7043587   0.7097808   0.33326312],[-0.46444949 -0.62551105  0.62691499  0.02294717],[ 0.88554961 -0.33558093  0.32122912 -0.07728465],[ 0.  0.  0.  1.]
[-0.52147359  0.4894975   0.69889731  0.38590127],[-0.65344915 -0.755816    0.04179873  0.01781945],[ 0.54869886 -0.4348974   0.71399942 -0.05637113],[ 0.  0.  0.  1.]
[-0.99953254  0.00617968 -0.02993311  0.40379794],[ 0.01771535 -0.68093514 -0.73212924 -0.02478708],[-0.02490605 -0.73231769  0.68050832 -0.02516089],[ 0.  0.  0.  1.]
[-0.55562205  0.30907216 -0.77185351  0.3892702 ],[ 0.78717748 -0.10329336 -0.60801472 -0.05967393],[-0.26764774 -0.94541368 -0.18590211  0.01556455],[ 0.  0.  0.  1.]
[-0.10586819  0.53977551 -0.83512534  0.33574602],[ 0.92757396 -0.24903333 -0.27854815 -0.08669275],[-0.35832751 -0.80413129 -0.47431693  0.02013727],[ 0.  0.  0.  1.]
[ 0.11281325  0.77392564  0.62314739  0.25298488],[-0.79694331 -0.30408154  0.52193456  0.06818989],[ 0.59342619 -0.55549514  0.58247016 -0.03333896],[ 0.  0.  0.  1.]
[-0.04367142  0.78400245  0.61921933  0.3109461 ],[-0.70028327 -0.46607691  0.5407176   0.06620752],[ 0.71252823 -0.41001591  0.56937797 -0.04154103],[ 0.  0.  0.  1.]
[-0.55676607  0.36519831  0.7460842   0.37876452],[-0.73424047 -0.63639279 -0.23642218  0.0679619 ],[ 0.38846228 -0.67943749  0.62246513 -0.01677774],[ 0.  0.  0.  1.]
[-0.99430216  0.03182901 -0.10173145  0.40393676],[ 0.04038586 -0.770742   -0.63586598  0.02361992],[-0.09864734 -0.63635179  0.76506597  0.0285826 ],[ 0.  0.  0.  1.]
[-0.62791639  0.43098524 -0.64805287  0.38047271],[ 0.61237033 -0.24031259 -0.75316186 -0.02764128],[-0.48033653 -0.86977219 -0.11302586  0.06969138],[ 0.  0.  0.  1.]
[-0.02995266  0.48834401 -0.87213687  0.30851558],[ 0.81747153 -0.49012636 -0.30251633 -0.05805989],[-0.57518955 -0.72200925 -0.38452647  0.06633507],[ 0.  0.  0.  1.]
[ 0.38477083  0.60217056 -0.69953007  0.25052653],[ 0.36046575 -0.79572766 -0.48670693 -0.03742508],[-0.84971564 -0.064887   -0.52323442  0.07537847],[ 0.  0.  0.  1.]
[-0.06672035  0.79012974  0.60929866  0.295698  ],[-0.96825691 -0.19870257  0.15164735  0.09261228],[ 0.2408904  -0.5798401   0.77830476  0.00376577],[ 0.  0.  0.  1.]
[-0.11020273  0.62673743  0.77139843  0.34673985],[-0.98663856  0.02472436 -0.16103939  0.09144317],[-0.12000123 -0.77883864  0.61563825  0.02858382],[ 0.  0.  0.  1.]
[-0.56272896  0.69718066  0.44415654  0.36631693],[-0.59180599  0.03536385 -0.80530477  0.06028023],[-0.5771491  -0.71602334  0.39269532  0.06782573],[ 0.  0.  0.  1.]
[-0.11571049  0.56068457 -0.81990414  0.34733144],[ 0.08344237 -0.81704469 -0.57050461  0.01960649],[-0.98977183 -0.13442864  0.04775567  0.10448093],[ 0.  0.  0.  1.]
[ 0.12955066  0.59877575 -0.79036975  0.2944344 ],[ 0.22552865 -0.79399067 -0.56455082 -0.00310337],[-0.96558477 -0.10511385 -0.2379033   0.10352593],[ 0.  0.  0.  1.]
[ 0.15595727  0.78934608  0.59380935  0.29302954],[-0.87036395  0.39407534 -0.29524878  0.08759716],[-0.46705937 -0.47078391  0.74847708  0.05202308],[ 0.  0.  0.  1.]
[ 0.3447508   0.71958853 -0.60277561  0.29386485],[-0.28072416 -0.53372087 -0.7977074   0.05086554],[-0.89573465  0.44422419  0.01800509  0.09950501],[ 0.  0.  0.  1.]
[-0.54768089  0.50246587 -0.66900937  0.39133391],[-0.50571342 -0.83580615 -0.21373946  0.05268342],[-0.66655808  0.22126636  0.7118582   0.0554151 ],[ 0.  0.  0.  1.]
