[-0.84166157  0.53972421  0.0174405   0.11620393],[ 0.01819214 -0.00393903  0.99982691  0.00887238],[ 0.53969918  0.84183334 -0.00650351  0.04597727],[ 0.  0.  0.  1.]
[-0.50801898  0.85802067 -0.07561637  0.11267596],[-0.15598779 -0.17798308 -0.97159156  0.00688202],[-0.84710368 -0.48179167  0.22425953  0.07954899],[ 0.  0.  0.  1.]
[-0.32832573  0.9400798   0.09194381  0.09307372],[-0.01923792  0.09066423 -0.99569617  0.00740556],[-0.94436884 -0.32868158 -0.01168212  0.10904472],[ 0.  0.  0.  1.]
[-0.12084685  0.99140865  0.05006804  0.0335442 ],[-0.06859134  0.0419772  -0.9967617   0.00830251],[-0.99029867 -0.12388983  0.06292914  0.14143837],[ 0.  0.  0.  1.]
[-0.30688037  0.95103974 -0.0367266   0.08549477],[-0.51145108 -0.1973324  -0.83634824  0.05603323],[-0.80264722 -0.23787493  0.54696729  0.09720482],[ 0.  0.  0.  1.]
[-0.06400374  0.99290974 -0.10017558  0.02946526],[-0.66461088 -0.11729162 -0.7379267   0.0737205 ],[-0.74444364  0.01934774  0.66740512  0.12002313],[ 0.  0.  0.  1.]
[-0.45021827  0.8923647   0.03145691 -0.00372905],[-0.08507761 -0.00780166 -0.99634405  0.00952998],[-0.88885608 -0.4512488   0.07943274  0.14637416],[ 0.  0.  0.  1.]
[ 0.60816457  0.78103267 -0.14185886 -0.03524914],[-0.17357412 -0.04354157 -0.98385816  0.01015653],[-0.77460164  0.62297072  0.10908668  0.1380603 ],[ 0.  0.  0.  1.]
[-0.50107372  0.86497813  0.02716163  0.08174147],[ 0.84967048  0.49767892 -0.17428576 -0.04281183],[-0.16427108 -0.06425137 -0.98432049  0.09534233],[ 0.  0.  0.  1.]
[-0.35894287  0.92114434  0.15051404  0.02262272],[ 0.84972077  0.38922289 -0.3556411  -0.05575205],[ -3.86179852e-01   2.39995712e-04  -9.22423889e-01   1.17620393e-01],[ 0.  0.  0.  1.]
